,Accuracy,Error Rate,ROC AUC,Precision,Recall,F1 Score,Model,SS, F1 Score
0,0.7456349206349207,0.2543650793650794,0.7458333333333333,0.8444444444444444,0.5763888888888888,,SVM,1.0,0.6524603174603174
1,0.7567460317460318,0.24325396825396825,0.7562500000000001,0.8608333333333333,0.6305555555555556,,LR,1.0,0.6917989417989415
2,0.7591269841269842,0.24087301587301588,0.7604166666666667,0.9069444444444444,0.5513888888888888,,NB,1.0,0.65515873015873
3,0.6873015873015873,0.3126984126984128,0.6875,0.7541666666666667,0.5444444444444444,,KNN,1.0,0.60515873015873
4,0.6845238095238096,0.3154761904761906,0.6840277777777779,0.7305555555555556,0.6680555555555557,,DT,1.0,0.6749735449735449
5,0.7003968253968256,0.29960317460317465,0.7000000000000001,0.7324999999999999,0.6902777777777775,,RF,1.0,0.6774867724867722
6,0.6400793650793649,0.3599206349206348,0.640972222222222,0.6482539682539683,0.6347222222222224,,SGBC,1.0,0.6027380952380953
7,0.6726190476190478,0.32738095238095244,0.6722222222222224,0.7313888888888889,0.6458333333333334,,GBC,1.0,0.652910052910053
8,0.7702380952380953,0.2297619047619048,0.7701388888888888,0.8105555555555555,0.7652777777777774,,Ada,1.0,0.7624735449735447
9,0.7242063492063493,0.27579365079365087,0.7243055555555556,0.8444444444444444,0.5333333333333333,,Combined,1.0,0.6223809523809524
